experiment_id,source_image_id,provider,model,transform,parameters,iteration_count,verifier_before_status,verifier_before_detected,verifier_before_confidence,verifier_after_status,verifier_after_detected,verifier_after_confidence,verifier_raw_before,verifier_raw_after,ssim,psnr,width,height,file_size_bytes,runtime_ms,estimated_api_cost_usd,timestamp
0,synthetic_0,synthetic-mock,n/a,__baseline__,{},1,MOCK,,MOCK_HIGH,MOCK,,MOCK_HIGH,"{""mock"": true, ""note"": ""offline placeholder, not a real verification"", ""image_path"": ""results\\mock\\transformed\\synthetic_0__baseline.png""}","{""mock"": true, ""note"": ""offline placeholder, not a real verification"", ""image_path"": ""results\\mock\\transformed\\synthetic_0__baseline.png""}",1.0,100.0,256,256,1919,0.0,0.0,2026-08-15T19:16:26
1,synthetic_0,synthetic-mock,n/a,screenshot_x1,"{""iterations"": 1}",1,MOCK,,MOCK_HIGH,MOCK,,MOCK_HIGH,"{""mock"": true, ""note"": ""offline placeholder, not a real verification"", ""image_path"": ""results\\mock\\transformed\\synthetic_0__baseline.png""}","{""mock"": true, ""note"": ""offline placeholder, not a real verification"", ""image_path"": ""results\\mock\\transformed\\synthetic_0__screenshot_x1.png""}",1.0,100.0,256,256,1919,0.0,0.0,2026-08-15T19:16:26
2,synthetic_0,synthetic-mock,n/a,screenshot_x2,"{""iterations"": 2}",2,MOCK,,MOCK_HIGH,MOCK,,MOCK_HIGH,"{""mock"": true, ""note"": ""offline placeholder, not a real verification"", ""image_path"": ""results\\mock\\transformed\\synthetic_0__baseline.png""}","{""mock"": true, ""note"": ""offline placeholder, not a real verification"", ""image_path"": ""results\\mock\\transformed\\synthetic_0__screenshot_x2.png""}",1.0,100.0,256,256,1919,12.45,0.0,2026-08-15T19:16:26
3,synthetic_0,synthetic-mock,n/a,screenshot_x5,"{""iterations"": 5}",5,MOCK,,MOCK_HIGH,MOCK,,MOCK_HIGH,"{""mock"": true, ""note"": ""offline placeholder, not a real verification"", ""image_path"": ""results\\mock\\transformed\\synthetic_0__baseline.png""}","{""mock"": true, ""note"": ""offline placeholder, not a real verification"", ""image_path"": ""results\\mock\\transformed\\synthetic_0__screenshot_x5.png""}",1.0,100.0,256,256,1919,15.19,0.0,2026-08-15T19:16:26
4,synthetic_0,synthetic-mock,n/a,screenshot_x10,"{""iterations"": 10}",10,MOCK,,MOCK_HIGH,MOCK,,MOCK_HIGH,"{""mock"": true, ""note"": ""offline placeholder, not a real verification"", ""image_path"": ""results\\mock\\transformed\\synthetic_0__baseline.png""}","{""mock"": true, ""note"": ""offline placeholder, not a real verification"", ""image_path"": ""results\\mock\\transformed\\synthetic_0__screenshot_x10.png""}",1.0,100.0,256,256,1919,30.82,0.0,2026-08-15T19:16:26
5,synthetic_0,synthetic-mock,n/a,jpeg_q95,"{""quality"": 95}",1,MOCK,,MOCK_HIGH,MOCK,,MOCK_HIGH,"{""mock"": true, ""note"": ""offline placeholder, not a real verification"", ""image_path"": ""results\\mock\\transformed\\synthetic_0__baseline.png""}","{""mock"": true, ""note"": ""offline placeholder, not a real verification"", ""image_path"": ""results\\mock\\transformed\\synthetic_0__jpeg_q95.jpeg""}",0.99732,34.621,256,256,4260,0.0,0.0,2026-08-15T19:16:26
6,synthetic_0,synthetic-mock,n/a,jpeg_q85,"{""quality"": 85}",1,MOCK,,MOCK_HIGH,MOCK,,MOCK_HIGH,"{""mock"": true, ""note"": ""offline placeholder, not a real verification"", ""image_path"": ""results\\mock\\transformed\\synthetic_0__baseline.png""}","{""mock"": true, ""note"": ""offline placeholder, not a real verification"", ""image_path"": ""results\\mock\\transformed\\synthetic_0__jpeg_q85.jpeg""}",0.99413,34.403,256,256,4366,0.0,0.0,2026-08-15T19:16:26
7,synthetic_0,synthetic-mock,n/a,jpeg_q75,"{""quality"": 75}",1,MOCK,,MOCK_HIGH,MOCK,,MOCK_HIGH,"{""mock"": true, ""note"": ""offline placeholder, not a real verification"", ""image_path"": ""results\\mock\\transformed\\synthetic_0__baseline.png""}","{""mock"": true, ""note"": ""offline placeholder, not a real verification"", ""image_path"": ""results\\mock\\transformed\\synthetic_0__jpeg_q75.jpeg""}",0.9926,33.871,256,256,4284,1.04,0.0,2026-08-15T19:16:26
8,synthetic_0,synthetic-mock,n/a,jpeg_q50,"{""quality"": 50}",1,MOCK,,MOCK_HIGH,MOCK,,MOCK_HIGH,"{""mock"": true, ""note"": ""offline placeholder, not a real verification"", ""image_path"": ""results\\mock\\transformed\\synthetic_0__baseline.png""}","{""mock"": true, ""note"": ""offline placeholder, not a real verification"", ""image_path"": ""results\\mock\\transformed\\synthetic_0__jpeg_q50.jpeg""}",0.98622,32.224,256,256,4400,1.09,0.0,2026-08-15T19:16:26
9,synthetic_0,synthetic-mock,n/a,resize_0.75,"{""scale"": 0.75}",1,MOCK,,MOCK_HIGH,MOCK,,MOCK_HIGH,"{""mock"": true, ""note"": ""offline placeholder, not a real verification"", ""image_path"": ""results\\mock\\transformed\\synthetic_0__baseline.png""}","{""mock"": true, ""note"": ""offline placeholder, not a real verification"", ""image_path"": ""results\\mock\\transformed\\synthetic_0__resize_0.75.png""}",0.99828,38.478,192,192,1700,3.0,0.0,2026-08-15T19:16:26
10,synthetic_0,synthetic-mock,n/a,resize_0.5,"{""scale"": 0.5}",1,MOCK,,MOCK_HIGH,MOCK,,MOCK_HIGH,"{""mock"": true, ""note"": ""offline placeholder, not a real verification"", ""image_path"": ""results\\mock\\transformed\\synthetic_0__baseline.png""}","{""mock"": true, ""note"": ""offline placeholder, not a real verification"", ""image_path"": ""results\\mock\\transformed\\synthetic_0__resize_0.5.png""}",0.99408,35.273,128,128,739,7.11,0.0,2026-08-15T19:16:27
