experiment_id,axis,condition,nominal_fraction,sample_id,work_id,seed,key_id,language,n_tokens,n_chars,ai_generated_tokens,ai_generated_fraction,retained_human_fraction,detector_score,threshold,detected,n_scored_positions,semantic_sim_vs_original,edit_distance_vs_original,timestamp
0,baseline,human,0.0,1342_0,1342,12345,075c5cf8,en,256,1167,0,0.0,1.0,0.4710843373493976,0.5278688524590164,False,249,1.0,0,2026-08-15T16:28:55
1,fraction_geometry,contiguous,0.02,1342_0,1342,12345,075c5cf8,en,256,1169,5,0.01953125,0.98046875,0.4756,0.5278688524590164,False,250,0.9999726338941445,5,2026-08-15T16:28:55
2,fraction_geometry,contiguous,0.05,1342_0,1342,12345,075c5cf8,en,256,1149,13,0.05078125,0.94921875,0.4844,0.5278688524590164,False,250,0.9999632037906683,13,2026-08-15T16:28:55
3,fraction_geometry,contiguous,0.1,1342_0,1342,12345,075c5cf8,en,256,1161,26,0.1015625,0.8984375,0.4948,0.5278688524590164,False,250,0.9999401270677285,26,2026-08-15T16:28:55
4,fraction_geometry,contiguous,0.15,1342_0,1342,12345,075c5cf8,en,256,1163,38,0.1484375,0.8515625,0.5048,0.5278688524590164,False,250,0.9998944924381824,38,2026-08-15T16:28:55
5,fraction_geometry,contiguous,0.2,1342_0,1342,12345,075c5cf8,en,256,1146,51,0.19921875,0.80078125,0.508,0.5278688524590164,False,250,0.9998467074485181,50,2026-08-15T16:28:55
6,fraction_geometry,contiguous,0.25,1342_0,1342,12345,075c5cf8,en,256,1142,64,0.25,0.75,0.5196,0.5278688524590164,False,250,0.9998012341027666,63,2026-08-15T16:28:55
7,fraction_geometry,contiguous,0.3,1342_0,1342,12345,075c5cf8,en,256,1123,77,0.30078125,0.69921875,0.526,0.5278688524590164,False,250,0.9997778931135719,75,2026-08-15T16:28:55
8,fraction_geometry,contiguous,0.5,1342_0,1342,12345,075c5cf8,en,256,1088,128,0.5,0.5,0.5549800796812749,0.5278688524590164,True,251,0.9997016264000501,125,2026-08-15T16:28:55
9,fraction_geometry,contiguous,0.75,1342_0,1342,12345,075c5cf8,en,256,1093,192,0.75,0.25,0.5987394957983193,0.5278688524590164,True,238,0.999256189621149,186,2026-08-15T16:28:55
10,fraction_geometry,contiguous,1.0,1342_0,1342,12345,075c5cf8,en,256,1052,256,1.0,0.0,0.6592436974789916,0.5278688524590164,True,238,0.9987936048331493,247,2026-08-15T16:28:55
