experiment_id,axis,condition,param_value,prompt_id,replicate,seed,key_id,language,n_tokens,n_chars,detector_score,threshold,detected,n_scored_positions,watermarked_tokens_retained,watermarked_fraction_retained,token_overlap_original,edit_distance_vs_watermarked,edit_distance_vs_original,semantic_sim_vs_watermarked,semantic_sim_vs_original,timestamp
0,baseline,watermarked,1.0,0,0,12345,075c5cf8,en,128,572,0.6362903225806451,0.5388429752066116,True,124,128,1.0,0.1875,0,120,1.0,0.9819826296166521,2026-08-15T16:03:44
1,baseline,reference,0.0,0,0,12345,075c5cf8,en,128,675,0.5,0.5388429752066116,False,55,0,0.0,1.0,120,0,0.9819826296166521,1.0000000000000002,2026-08-15T16:03:44
2,mixture,keep_prefix,1.0,0,0,12345,075c5cf8,en,128,572,0.6362903225806451,0.5388429752066116,True,124,128,1.0,0.1875,0,120,1.0,0.9819826296166521,2026-08-15T16:03:44
3,mixture,keep_prefix,0.9,0,0,12345,075c5cf8,en,128,586,0.6193548387096774,0.5388429752066116,True,124,115,0.8984375,0.28125,13,107,0.9999580602901551,0.9825777748794462,2026-08-15T16:03:44
4,mixture,keep_prefix,0.75,0,0,12345,075c5cf8,en,128,593,0.6060344827586207,0.5388429752066116,True,116,96,0.75,0.4140625,32,89,0.9996060443782522,0.9856899095628917,2026-08-15T16:03:44
5,mixture,keep_prefix,0.5,0,0,12345,075c5cf8,en,128,642,0.5875,0.5388429752066116,True,88,64,0.5,0.6171875,61,59,0.9952596753383252,0.9954589862356424,2026-08-15T16:03:44
6,mixture,keep_prefix,0.25,0,0,12345,075c5cf8,en,128,656,0.5527027027027027,0.5388429752066116,True,74,32,0.25,0.8125,91,31,0.9913253896094568,0.998054838697176,2026-08-15T16:03:44
7,mixture,keep_prefix,0.1,0,0,12345,075c5cf8,en,128,676,0.5253968253968254,0.5388429752066116,False,63,13,0.1015625,0.921875,107,13,0.9888420530149484,0.998762764060315,2026-08-15T16:03:44
8,mixture,keep_prefix,0.0,0,0,12345,075c5cf8,en,128,675,0.5,0.5388429752066116,False,55,0,0.0,1.0,120,0,0.9819826296166521,1.0000000000000002,2026-08-15T16:03:44
9,mixture,keep_suffix,1.0,0,0,12345,075c5cf8,en,128,572,0.6362903225806451,0.5388429752066116,True,124,128,1.0,0.1875,0,120,1.0,0.9819826296166521,2026-08-15T16:03:44
